,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
26788,Health and Wellness Medical Office Assistant,Healthstat,Lawrenceville,Georgia,"Number of hours per week: 40  Healthstat is a leading provider of on-site primary care, high health risk intervention, chronic condition management and occupational medical care services in employer facilities. Through on-site centers, preventative care, wellness programs and comprehensive reporting, Healthstat alleviates a corporation's rising cost of healthcare by improving the health of its employees and dependents. Healthstat currently manages more than 300 clinics nationwide serving over 200,000 participants.  Healthstat's professional clinic staff members aid employees with reaching personal health improvement goals. Our positions offer a unique opportunity to be directly involved with improving employee health with a singular commitment to wellness.  Healthstat is seeking a qualified Medical Office Assistant looking to be an integral part of our culture where people come first, and we strive to make a difference. Personal health is our priority!!  How Healthstat Medical Office Assistants make a difference: Establish rapport and relationships with the patientsAssist providers in establishing a welcoming and inviting clinical cultureDirectly assist the on-site provider(s) with day to day operationsProvide a clinical experience surpassing each patient's expectations Must be comfortable with phlebotomy skillsMay be required to perform front and back-office dutiesBe technically proficient with Microsoft Office ProductsConsistently utilize an Electronic Medical Records systemAdminister TB Skin testsSchedule and coordinate patient appointments and outside referralsMaintain administrative skillsMaintain clinic supply inventory and complete orders to maintain adequate supply levelsDeliver other clinical procedures as directed by the on-site provider(s)Good organizational and communication skillsProficient in PhlebotomyBe able to lift 20 lbs. periodicallyPass a Drug Screen and Criminal Background CheckPlease watch a short video about Healthstat: www.youtube.com/healthstatinc  If you are interested in being a part of a team with a great culture that inspires healthy change please  ",Part-Time,Not Specified
18646,Stable Account Management Opportunity in Manufacturing,OfficeTeam,San Jose,California,"Ref ID: 00420-9731937Classification: Account Executive/Staffing ManagerCompensation: $16.00 to $21.00 per hourAre you looking for stability within a company & an opportunity to grow? Do you want a fun and nurturing work environment? If so, this opportunity is for you! Apply today! OfficeTeam is partnering up with an established manufacturing company in North San Jose looking for a proactive and customer serviced focused account manager. Account Management Responsibilities: Managing orders from start to finish Including data entry, editing, processing, and confirmation Reviewing quotes Vendor management Follow all SAP procedures Interacting with clients both in person and over the phone",Seasonal/Temp,Not Specified
56959,Career Fair!  April 1st,Sheriden Woods Health Care Center,Bristol,Connecticut,"CAREER FAIR - CNA Positions

April 1, 2015
10am-4pm
Sheriden Woods Health Care Center
321 Stonecrest Drive
Bristol, CT


7-3 SHIFT
8 hrs every other weekend
24 hrs every other weekend
32 hrs every other weekend

3-11 SHIFT
16 hrs every other weekend
24 hrs every other weekend
32 hrs every other weekend

11-7 SHIFT
8 hrs every other weekend
16 hrs every other weekend


",Full-Time/Part-Time,Not Specified
36356,CNA - Certified Nursing Assistant / HHA - Home Health Aide,BAYADA HOME HEALTH CARE,Beaver,Pennsylvania,"Are you dependable, motivated, and a hard worker? At BAYADA Pediatrics, we believe our clients come first and our employees are our greatest asset. We are currently looking for CNA - Certified Nursing Assistants to work with pediatric clients in the comfort of their homes.

Qualifications for CNA:  
• Minimum one year work experience  
• Certificate of at least 75 hours of Certified Nursing Assistant CNA training   
• Current CNA license listed in good standing with the board

Job Responsibilities:
• Activities of daily living  
• Light housekeeping  
• Bathing  
• Dressing  
• Grooming  
• Toileting  
• Nail care  
• Range of motion / exercises  
• Transfers / use of mechanical lifting devices  
• Oral feeding  
• Vital sign checks: temperature, pulse, respiration  
• Home Management Tasks: laundry, meal preparation, bed making etc.  
• Assisting with ambulation   

BAYADA offers:
• Weekly pay
• Flexible scheduling to fit your lifestyle 
• Short commute times – we try to match you to opportunities near your home  
• Positive work environment and the tools you need to do your job 
• Scholarship programs
• A stable working environment – we invest in our care team   
• Paid time off
• 24 / 7 on call clinical manager support
Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Part-Time,High School Diploma
57797,Hostess - Host,Bob Evans Corporate,New Philadelphia,Ohio,"Bob Evans is hiring Part Time Hostesses and Hosts for our restaurant.. The job of the Host/Hostess is critical to the operation. You are the first person to greet the guest and are the last person with whom the guest has contact before leaving. It is very important that each guest is greeted and made to feel welcome and comfortable.




If you are interested in the position, please apply today. You'll need to answer a few basic questions and could potentially be scheduled for an interview. Please check your email for next steps after you apply. Don't forget to check your junk folder, just in case it goes in there by mistake. 

",Part-Time,Not Specified
75846,"PT, Physical Therapist, Senior Living Communities, Per Diem",BAYADA HOME HEALTH CARE,Blue Bell,Pennsylvania,"PT, Physical Therapist, Senior Living Communities   BAYADA Home Health Care  is currently seeking an experienced Physical Therapist , PT for a per diem  opportunity performing Senior Living Community  visits in North Wales, PA.    As a home care Physical Therapist, you will be an integral member of a multi-disciplinary health care team that provides rehabilitative care and skilled nursing to clients, affording them the opportunity to receive the medical care required to remain at home. Experience with geriatric clients  with dementia preferred  BAYADA has a special purpose: to help people of all ages have a safe home life with comfort, independence, and dignity. We believe our clients and their families deserve the highest quality home health care delivered with compassion, excellence, and reliability - our core values. With more than 280 offices nationwide, founder Mark Baiada still maintains the same compassionate, human focus that made our first office unique in 1975.Responsibilities include: Make home visits to clients in designated geographic territories.Perform diagnostic tests and measurements, such as the mobility/range of joints, transfer status, stability, patterns and appearance of ambulation, strength and endurance of muscles, balance testing and safety assessments.Develop and implement appropriate individualized care plans, including manual therapeutic exercises, gait training, balance, and other interventions.Continually assess and revise the physical therapy care plan, and participate with nursing in the multidisciplinary care plan, as appropriate.Educate and instruct patients, family members, or other patient representatives, in rehabilitative care and activities necessary to promote the patient's health, safety and independent living.Accurately document observations, interventions and evaluations pertaining to patient care management and services provided utilizing a state-of-the-art touch pad tablet.Qualifications include: A current license as a Physical Therapist in PennsylvaniaA minimum of one year of recent work experience as a Physical Therapist.A graduate of a program approved by the American Physical Therapy Association or the Committee on Allied Health Education and Accreditation of the American Medical Association as indicated by school transcript or diplomaAbility to work independently and manage time effectivelyStrong interpersonal skills, organizational skills and problem solving skillsSolid computer skills; prior experience with electronic medical records (EMR) preferred BAYADA believes that our employees are our greatest asset: Enjoy being part of a team that cares and a company that believes in leading with our valuesDevelop your skills with training and scholarship opportunitiesAdvance your career with specially designed career tracksBe recognized and rewarded for your compassion, excellence, and reliabilityBenefits may include medical, dental, and life insurance; paid time off; weekly pay and direct deposit; scholarship opportunities; one-on-one training; recognition programs; referral bonuses; 401(k) with company match; and opportunities for career advancement. BAYADA believes that our clients and their families deserve home health care delivered with compassion, excellence, and reliability.  Be part of a caring, professional team that is instrumental in providing the highest quality care while developing your career with an industry leader.  Apply now for immediate consideration. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, gender, national origin, disability or veteran status.   ",Per Diem,Not Specified
30662,Retail Merchandisers- Traveling Team,SAS Retail Services,York,Pennsylvania,"
SAS Team Lead Merchandisers are our frontline customer service ambassadors and an integral part of our team. As a Team Lead of the team, you will ensure product on the sales floor is well-stocked and always ready for customers to shop.

This is a permanent, part time position! Work hours are Monday through Thursday from 7:00 am to 3:30 pm.

Work is on traveling team, some overnight stays required Hotels paid for by company when needed 

Pay is $12.00 + per hour!

Duties &amp; Responsibilities: 
&bull; Merchandising Associates look to you as a mentor. You communicate the overall design vision, answer questions, provide productive feedback and lead by example in performing high-level assignments. Your excellent communication skills also cross channels to the store management team to ensure visual merchandising is supporting their efforts.
&bull; Interact with store personnel and their customers in a professional and courteous manner.

Position Requirements: 
&bull; Access to reliable transportation (required)
&bull; Clearly and concisely communicate in both written and verbal forms
&bull; Must be able to lift, push, pull and move up to fifty (50) pounds
&bull; Use of technology appropriate for position (i.e. PDA, tablet, phone, PC)
&bull; Ability to read and understand Planograms or schematics (Preferred)
&bull; Prior retail merchandising and management experience (Preferred)
&bull; Must be available to travel stores to store 

To learn more about SAS Retail and apply, go to the career section of our website:
www.sasretail.com/employment.html",Part-Time,Not Specified
59182,Inventory Analyst,Accountemps,Fort Wayne,Indiana,Ref ID:01420-9739768Classification:Receive and Delivery ClerkCompensation:$11.00 to $12.00 per hourOur client is in immediate need of an inventory analyst in Fort Wayne. The company is a major component of the trucking industry and will require writing condition reports for heavy duty trucks. You will inspect and note mechanical and cosmetic damages and document the damages. This will be a full time position working Monday through Friday. Must be able to: -Analyze inventory and document any issues -Interact with vendors regarding discrepancies -Work on computers efficiently -Ability to work outside in all weather conditions -Understand basic mechanical issues Please send resumes to [Click Here to Email Your Resumé] or apply directly on www.accountemps.com,Seasonal/Temp,Not Specified
37198,Project Assistant,OfficeTeam,Portland,Oregon,"Ref ID: 04730-006641Classification: Secretary/Admin AsstCompensation: $18.00 to $18.00 per hourRobert Half is currently seeking Senior Administrative Assistants / Project Assistants for a role with one of our fortune 100 Healthcare clients! Please read the below job description to see if this is the best fit for you. If interested, please submit your resume to [Click Here to Email Your Resumé]. As an Administrative Assistant / Project Assistant, you will be responsible for the following administrative tasks, -Receiving, logging, and reconciling monies via mail, email, and fax. Administrative Assistant / Project Assistant will also be responsible for interdepartmental deposit and/or preparation of money batches for entry. As an Administrative Assistant / Project Assistant you will be assisting others with backlog and ensuring all systems are kept properly.",Seasonal/Temp,Not Specified
45251,Security Officer in Retail setting,Universal Protection Service,Philadelphia,Pennsylvania,"Universal Protection Service, the largest retail security provider in the industry, invites you to apply today to be one of our dynamic Professional Security Officers.   At Universal Protection Service, our vision is to be exceptional--to maintain exceptional people, to provide exceptional service and to create exceptional results.  Universal Protection Service seeks passionate applicants who love working with people.We are currently hiring Part Time Security Guards to staff one of our Premier malls in Philadelphia, PA. The starting salary for these positions is $9.00 HourlyThe ideal candidate for the Retail Security Officer position is excellent with customers and has an impressive ability to communicate. This is a great opportunity to join Universal Protection Service, a dynamic high-powered security team focused on securing client properties while delivering exceptional customer service.Driving is a requirement in most of our retail locations. Applicants must have a Current State’s driver’s license and are required to meet the minimum Company driving standards in order to safely operate a Company vehicle to be cleared for our driving program.The successful Retail Security Officer candidate is responsible for providing security services at assigned locations. Duties include, but are not limited to:Foot, bike or golf cart patrol of interior and exterior areas of assigned locationsExecute security services as outlined in site-specific Post orders and directed by Security ManagementObserve and report suspicious activities and personsWrite detailed narrative reports and maintain daily activity reports (DARs)Enforce rules, regulations, policies, procedures, and respond to emergency situations requiring security assistance",Part-Time,High School Diploma
